failed to get console mode for stdout: The handle is invalid.
failed to get console mode for stdout: The handle is invalid.

Exchange Binance has 1235 active pairs:
+---------------+----------------+----------+---------+----------+--------+----------+----------+------------+
|            Id |         Symbol |     Base |   Quote |   Active |   Spot |   Margin |   Future |   Leverage |
|---------------+----------------+----------+---------+----------+--------+----------+----------+------------|
| 1000SATSFDUSD | 1000SATS/FDUSD | 1000SATS |   FDUSD |     True |   Spot |          |          |          1 |
|   1000SATSTRY |   1000SATS/TRY | 1000SATS |     TRY |     True |   Spot |          |          |          1 |
|  1000SATSUSDT |  1000SATS/USDT | 1000SATS |    USDT |     True |   Spot |   Margin |          |          1 |
|      1INCHBTC |      1INCH/BTC |    1INCH |     BTC |     True |   Spot |   Margin |          |          1 |
|     1INCHUSDT |     1INCH/USDT |    1INCH |    USDT |     True |   Spot |   Margin |          |          1 |
|       AAVEBNB |       AAVE/BNB |     AAVE |     BNB |     True |   Spot |          |          |          1 |
|       AAVEBTC |       AAVE/BTC |     AAVE |     BTC |     True |   Spot |   Margin |          |          1 |
|       AAVEETH |       AAVE/ETH |     AAVE |     ETH |     True |   Spot |          |          |          1 |
|       AAVETRY |       AAVE/TRY |     AAVE |     TRY |     True |   Spot |          |          |          1 |
|      AAVEUSDT |      AAVE/USDT |     AAVE |    USDT |     True |   Spot |   Margin |          |          1 |
|        ACABTC |        ACA/BTC |      ACA |     BTC |     True |   Spot |          |          |          1 |
|        ACATRY |        ACA/TRY |      ACA |     TRY |     True |   Spot |          |          |          1 |
|       ACAUSDT |       ACA/USDT |      ACA |    USDT |     True |   Spot |   Margin |          |          1 |
|        ACEBNB |        ACE/BNB |      ACE |     BNB |     True |   Spot |          |          |          1 |
|        ACEBTC |        ACE/BTC |      ACE |     BTC |     True |   Spot |          |          |          1 |
|      ACEFDUSD |      ACE/FDUSD |      ACE |   FDUSD |     True |   Spot |          |          |          1 |
|        ACETRY |        ACE/TRY |      ACE |     TRY |     True |   Spot |          |          |          1 |
|       ACEUSDT |       ACE/USDT |      ACE |    USDT |     True |   Spot |   Margin |          |          1 |
|        ACHBTC |        ACH/BTC |      ACH |     BTC |     True |   Spot |          |          |          1 |
